URL,Description
http://0-www.scopus.com.lib1000.dlsu.edu.ph,Scopus
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/2,“Dito lang kami sa aming bahay”: Kapangyarihan at Kalusugan sa mga Piling Aklat Pambatang Filipino tungkol sa Pandemyang COVID-19 (2020-2021) (“We will just stay at home”: Power Relations and Health System in Selected Filipino Children’s Books about COVID-19 Pandemic [2020-2021])
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/3,Pagduyan sa Bayan: Tungo sa Pagluluwal ng Tradisyon ng Oyayi (Cradling the Nation: Towards Birthing the Philippine Lullaby Tradition)
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/4,"Ang Mapanglasong Dagta ng Homophobia: Pagsusuri ng Kasarian at Pagnanasa sa ""Nagmahal Ako [ng Bakla]"" ng Dagtang Lason (The Toxic Sap of Homophobia: An Analysis of Kabaklaan, Masculinity, and Desire in Dagtang Lason’s ""Nagmahal Ako [ng Bakla]"")"
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/5,The Actor in Flux: Transforming Acting Techniques through Individuality
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/6,"Forest Thought, Narrativity, and Counterinsurgency in Yñiga"
http://animorepository.dlsu.edu.ph/akda/vol4/iss1/7,Stony Brook Souvenir and other translated poems
http://animorepository.dlsu.edu.ph/akda/vol4/iss2/2,"Illegal, Unreported and Unregulated (IUU) Fishing as Pathways to Human Trafficking:  Navigating the Trafficked State of Migrant Filipino Fishermen in J.W. Henley’s Migrante"
http://animorepository.dlsu.edu.ph/akda/vol4/iss2/3,Shooting/Filming Digong: History and Politics of the Duterte Regime through Philippine Cinema
http://animorepository.dlsu.edu.ph/akda/vol4/iss2/4,Ang Dalumat at Parikala ng “Liwanag” at “Dilim” sa Loob at Labas ng Lente ng Kamera (The Concepts and Paradoxes of “Liwanag” and “Dilim” Within and Beyond the Camera Lens)
http://animorepository.dlsu.edu.ph/akda/vol4/iss2/5,Following the Wounded Women in Isabela
http://animorepository.dlsu.edu.ph/akda/vol4/iss2/6,"Selves as worlds, worlds as selves: A review of Worlds We Are (2023)"
http://animorepository.dlsu.edu.ph/akda/vol5/iss1/2,Trans-Corporealizing Island on Stage: An Eco-Aesthetic Critique in Bare Feet Dance Theatre’s Tsiáh-Thóo and TAI Body Theatre’s Red Earth
http://animorepository.dlsu.edu.ph/akda/vol5/iss1/3,Delirium and Derangement: Futurities of Climatic and Islandic Relationality in Philippine Artistic Practice
http://animorepository.dlsu.edu.ph/akda/vol5/iss1/6,Traversing Tin and Tides: Translation Ideology and Strategies in Berli and the Sea
http://animorepository.dlsu.edu.ph/akda/vol5/iss1/7,Unveiling Marginalised Voices: Female Indentured Labourer’s Narratives in Island Literature
http://animorepository.dlsu.edu.ph/conf_shsrescon,DLSU Senior High School Research Congress
http://animorepository.dlsu.edu.ph/conf_shsrescon/2022/arts_cw/4,A Tedious Oscillation Between Heartfelt Knowledge and Tears: A Metamodern Essay on Bo Burnham’s Work
http://animorepository.dlsu.edu.ph/conf_shsrescon/2022/arts_da/4,Everescape: A Meta-Ethical Analysis of the Player’s Morality Through Immersive Gameplay
http://animorepository.dlsu.edu.ph/conf_shsrescon/2022/paper_tph/1,Oedipus 2.0: Rethinking Digital Subjectivity with Lacan and the Posthuman
http://animorepository.dlsu.edu.ph/conf_shsrescon/2022/paper_tph/4,Epistemic Injustice and Indigenous Education in the Philippines
