time,seen_url_count,unsearched_count,unextracted_count
0,0,1068,80
15,1279,1575,159
30,1989,1709,234
45,2329,1771,309
60,2593,2033,346
75,3050,2589,470
90,3841,2610,582
105,4080,2727,571
120,4383,2832,681
135,4704,2629,736
150,4762,2459,827
165,4772,2585,799
180,5001,2571,810
195,5005,2983,730
210,5598,2823,833
225,5651,2761,960
240,5815,2826,943
255,6045,2871,795
270,6164,2966,722
285,6307,3081,583
300,6447,3138,388
315,6553,3146,246
330,6595,4428,34
345,7915,13730,0
360,17247,13694,0
375,17247,13777,0
390,17379,13741,0
405,17379,13688,5
420,17392,13496,118
435,17408,13277,237
450,17411,13061,371
465,17428,12858,428
480,17462,12568,506
495,17464,12484,344
510,17488,12321,384
525,17504,12304,462
540,17663,12123,544
555,17666,12068,416
570,17754,11968,159
585,17826,12033,164
600,18072,11946,156
615,18160,11895,126
630,18226,11769,192
645,18306,11692,182
660,18371,11777,30
675,18489,11785,0
690,18532,11752,0
705,18540,11713,0
720,18540,11678,0
735,18540,11646,0
750,18540,11608,0
765,18540,11577,0
780,18545,11540,0
795,18545,11506,0
810,18545,11473,0
825,18545,11432,0
840,18545,11397,0
855,18545,11362,0
870,18545,11330,0
885,18545,11293,0
900,18545,11259,0
915,18545,11220,0
930,18545,11185,0
945,18545,11148,0
960,18545,11111,0
975,18545,11075,0
990,18545,11038,0
1005,18545,11003,0
1020,18545,10966,0
1035,18545,10950,0
1050,18545,10937,0
1065,18545,10927,0
1080,18545,10883,0
1095,18545,10843,0
1110,18545,10806,0
1125,18545,10770,0
1140,18545,10737,0
1155,18545,10698,0
1170,18549,10660,0
1185,18550,10624,0
