URL,Description
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7561,2015-2016 Doshisha University Student Exchange Program. The program will run from October 2015 to July 2016.
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7562,2015-2016 Hokkaido University Student Exchange Program. The program will run from September 2015 to August 2016.
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7564,IESEG of Universite Catholique de Lille in France to their French Culture Spring Session Program.
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7565,"Global Education: Exchanges for Engineers and Entrepreneurs Network, University of Trento of Italy"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7566,The Great British Festival 2015
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7579,2015 Fall Semester Temasek Foundation-National University of Singapore Leadership Enrichment and Regional Networking Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7595,"International Summer Programs at Universite Catholique De Lille, France"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7599,Fall Semester Universite Catholique de Lille (France) Student Exchange Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7622,"The Ministry of Science and Technology (MOST), ROC (Taiwan) Scholarship"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7636,2015-2016 Temasek Foundation-Nanyang Technological University Leadership Enrichment Program and Regional Networking Programme (TF-NTU LEaRN)
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7639,2015-2016 Fall Semester Singapore Management University Student Exchange Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7651,"2015 Chinese Government Scholarship, ​The Confucius Institute Scholarship,  and The Guangxi Government Scholarship for ASEAN Students"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7655,Suranaree University of Technology (SUT)-Ph.D. Scholarship for ASEAN (Phase II) 2015-2017
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7669,2015-2016 Soka University Student Exchange Program​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7685,​​ICRS-Ford Ph.D. Research Fellowship
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7694,The Australia Awards Scholarships in the Philippines
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7695,Petra Christian University Summer Program 2015
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7699,The 2015 University of British Columbia (UBC) Vancouver Summer Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7723,ASEAN Youth Volunteer Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7726,The 2015 Taiwan International Graduate Program (TIGP)​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7733,Universiti Kebangsaan Malaysia​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7735,Thammasat University Graduate Scholarship Program for Excellent Foreign Students​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7737,"University of Malaya, Malaysia"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7745,University of Brunei Darussalam
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7765,"INSA Toulouse – France, Fall Semester 2015"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7766,"Master of Arts Program in Addiction Studies, ASEAN Institute for Health Development, Mahidol University, Thailand"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7770,The Center for Chinese Studies (CCS) Research Grants to Foreign Scholars in Chinese Studies
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7772,"National Cheng Kung University (Taiwan), Institute of International Management, International Master’s and Ph.D Programs"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7794,SINGAPORE MANAGEMENT UNIVERSITY GLOBAL SUMMER PROGRAMMME
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7810,"Chiang Mai University, Thailand, Institute for South East Asian Affairs (ISEAA)"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7824,"Scholarship Grants for Master Course in European Literary Cultures (Erasmus Mundus) University of Strasbourg, FRANCE"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7827,Scholarships under Taiwan Fellowship Research Studies in Social Sciences and Humanities
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7838,"Scholarships under the Academic Mobility Exchange for Undergraduate at Airlangga (AMERTA) Universitas Airlangga, Indonesia"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7846,"Scholarships for Undergraduate Programs_2015 International School of Englineering (ISE) Chulalongkorn University, Thailand"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7847,"2015 Summer Cultural Exchange Program_Faculty of Management Science and ASEAN Business – Prince of Songkla University, Hatyai Thailand"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7849,2015-2016 Fall Semester Ecole Supérieure des Sciences Commerciales d’Angers Student Exchange Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7859,"Scholarships at Dankook University, South Korea Korean Government Sponsorship 2015 Summer Program"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7861,Hannam University (South Korea) 2015 Fall Semester Student Exchange Program
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7862,Training Course on Flood Disaster Mitigation under the Auspices of JICA
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7866,Foreign Trade University Vietnam – Summer Program 2015
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7884,"The 2015 PAEF-Education USA Advising Center’s Student Visa Orientation entitled, “Preparing for Your Student Visa Application”"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7938,"​​2015-2016​ First Semester​ ​Universitas Kristen Maranatha ​(Maranatha Christian University)​, Indonesia"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7945,UNILASSALE III Forum La Salle: “Lasallian Teaching Competences and Active Methodologies in Higher Education”
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7946,WEBINAR on the Schwarzman Scholars Program​ by the Institute of International Education (IIE) Southeast Asia-Pacific​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7948,University of Indonesia (Universitas Indonesia)
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7949,"Community and Technological Camp Highlight 2015 (CommTECH 2015) Institut Teknologi Sepuluh Nopember (ITS) Surabaya, INDONESIA “Solving Local Problems with Global Knowledge”​"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7965,"King Mongkut’s University of Technology Thonburi (KMUTT), Thailand​ – ​Semesters 1 and 2, AY 2015-2016​"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7967,Global Initiative Symposium 2015 – National Taiwan University​ “From Individual to Influential”​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7968,Southern Taiwan University of Science and Technology (STUST) International Programs 2015
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7991,GOI Peace Foundation International Essay Contest for Young People
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7992,"Summer Courses on Turkish Language at Esmir, Turkey"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7994,2015-2016​ ​Chinese Language Scholarship at Tianjin International Business College
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=7995,​2015 International Seminar with Asian Sister University Students​ ​Fokuoka University Japan​
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8031,"B.A. Programme on Hellenic Studies AY 2015-2016 Democritus University of Thrace, Greece"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8034,"2015 Maranatha Industrial Cultural Program(MaInCuP) Universitas Kristen Maranatha, Bandung, Indonesia"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8039,University Mobility for Asia and the Pacific (UMAP)
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8054,The 19th ASEF Summer University: Sustainable Urbanisation in Heritage Cities
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8081,2015 ASEAN University Network for Business and Economics (AUN-BE) Colloquium Theme: “Fostering Research Exchange and Excellence”
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8102,Temasek Foundation Water Leadership Programme (TFWLP) National University of Singapore Lee Kuan Yew School of Public Policy
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8105,"New Zealand ASEAN Scholarship (NZAS) Programme, AY 2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8110,Scholarship at Universiti Brunei Darussalam (UBD) Master of Public Policy and Management Programme (MPPM)
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8113,Malaysian Technical Cooperation Programme-ASEAN Scholarships 2015
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8129,International Week 2015  – Universitas Gadjah Mada (UGM)
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8212,Southeast Asian Global Undergraduate Leaders’ (SEAGULL) Programme 2016
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8249,"Universitas Gadjah Mada, Indonesia – AUN-ACTS Program: Semester 2, AY 2015-2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8257,"University Brunei Darussalam Semester 2, AY 2015-2016 – AUN-ACTS Program"
