time,seen_url_count,unsearched_count,unextracted_count
0,0,1103,0
15,1198,1694,0
30,1865,1825,0
45,2041,1948,0
60,2189,1992,0
75,2262,2087,0
90,2390,2105,0
105,2430,2096,0
120,2483,2241,0
135,2677,2282,0
150,2766,2327,0
165,2839,2346,0
180,2885,2465,0
195,3035,2566,0
210,3179,2739,0
225,3395,3000,0
240,3701,3157,0
255,3881,3162,0
270,3940,3179,0
285,3984,3178,0
300,4026,3269,0
315,4162,3262,0
330,4171,3330,0
345,4286,3328,0
360,4322,3314,0
375,4342,3312,0
390,4364,3295,0
405,4386,3278,0
420,4405,3430,0
435,4609,3424,0
450,4640,3451,0
465,4692,3471,0
480,4736,3471,0
495,4759,3502,0
510,4814,3563,0
525,4909,3583,0
540,4982,3677,0
555,5101,3667,0
570,5107,3667,0
585,5128,3637,0
600,5174,3580,0
615,5178,3567,0
630,5197,3612,0
645,5265,3666,0
660,5349,3912,0
675,5625,3983,0
690,5732,4009,0
705,5789,4060,0
720,5874,4092,0
735,5943,4116,0
750,5996,4019,0
765,6033,4063,0
780,6109,4082,0
795,6157,4101,0
810,6201,4102,0
825,6227,4100,0
840,6250,4122,0
855,6298,4122,0
870,6324,4123,0
885,6349,4123,0
900,6375,4114,0
915,6393,4131,0
930,6433,4142,0
945,6469,4149,0
960,6485,4185,0
975,6550,4171,0
990,6568,4208,0
1005,6629,4218,0
1020,6662,4198,0
1035,6664,4224,0
1050,6723,4212,0
1065,6742,4212,0
1080,6770,4210,0
1095,6793,4210,0
1110,6817,4210,0
1125,6841,4205,0
1140,6863,4216,0
1155,6902,4246,0
1170,6956,4256,0
1185,6994,4244,0
