time,seen_url_count,unsearched_count,unextracted_count
0,0,622,151
15,881,1338,263
30,1817,1215,469
45,1970,1409,607
60,2401,1243,758
75,2479,1201,908
90,2694,1173,966
105,2871,1470,1124
120,3427,1292,1216
135,3533,1117,1359
150,3562,943,1513
165,3595,984,1609
180,3806,857,1799
195,3900,884,1856
210,4114,876,1938
225,4271,749,2028
240,4320,713,2035
255,4405,675,2074
270,4494,698,2098
285,4668,828,2084
300,5118,888,2093
315,5293,969,2052
330,5468,1026,2032
345,5652,1006,2045
360,5793,959,2039
375,5893,738,2187
390,5902,635,2214
405,5942,588,2208
420,6033,511,2187
435,6056,543,2106
450,6201,407,2126
465,6247,365,2086
480,6300,312,2083
495,6385,308,2084
510,6500,235,2024
525,6572,157,2029
540,6650,87,2018
555,6721,11,1969
570,6783,0,1890
585,6890,0,1672
600,6981,103,1643
615,7203,89,1645
630,7323,101,1514
645,7476,177,1442
660,7713,187,1157
675,7855,256,1145
690,8046,264,1103
705,8169,233,1107
720,8277,176,1092
735,8379,146,1074
750,8507,141,1060
765,8642,70,1050
780,8716,0,984
795,8787,0,914
810,8918,20,895
825,9073,0,845
840,9153,2,786
855,9262,278,722
870,9683,297,709
885,9849,299,761
900,9986,372,753
915,10205,415,754
930,10382,401,764
945,10515,343,803
960,10619,332,801
975,10745,325,785
990,10883,436,590
1005,11139,460,543
1020,11291,433,504
1035,11432,389,308
1050,11541,371,305
1065,11677,382,293
1080,11842,393,288
1095,11986,378,285
1110,12120,375,258
1125,12268,344,234
1140,12368,393,169
1155,12574,368,158
1170,12700,401,151
1185,12869,358,156
