time,seen_url_count,unsearched_count,unextracted_count
0,0,817,96
15,1032,1484,170
30,1888,1657,297
45,2284,1813,392
60,2645,1765,479
75,2801,1666,590
90,2923,1869,737
105,3366,1874,808
120,3564,1948,834
135,3836,1889,924
150,4072,1892,1005
165,4266,1745,1090
180,4314,1752,1152
195,4520,1648,1247
210,4626,1829,1340
225,5042,1643,1467
240,5059,1514,1591
255,5157,1428,1733
270,5305,1266,1809
285,5481,1152,1900
300,5567,1018,2006
315,5660,958,2120
330,5806,845,2199
345,5896,763,2067
360,5934,574,2163
375,5955,488,2192
390,6064,323,2218
405,6085,241,2259
420,6210,50,2343
435,6225,0,2291
450,6228,0,2239
465,6286,0,2139
480,6313,0,1883
495,6317,0,1813
510,6362,0,1715
525,6375,0,1617
540,6389,25,1549
555,6534,5,1575
570,6641,0,1201
585,6673,70,1208
600,6905,5,1272
615,7014,0,1230
630,7099,0,1191
645,7174,0,1153
660,7255,0,1080
675,7322,0,1023
690,7375,0,935
705,7407,0,940
720,7518,0,916
735,7612,0,887
750,7710,144,825
765,7951,197,884
780,8198,0,1036
795,8229,0,1032
810,8321,0,1021
825,8417,0,1008
840,8514,0,978
855,8599,0,930
870,8687,0,712
885,8773,0,538
900,8869,9,484
915,8940,22,487
930,9072,0,483
945,9161,8,460
960,9259,0,455
975,9358,11,399
990,9470,147,318
1005,9695,133,319
1020,9821,153,269
1035,9972,203,220
1050,10125,232,116
1065,10285,265,56
1080,10430,260,8
1095,10555,276,0
1110,10708,266,0
1125,10830,222,3
1140,10923,234,0
1155,11020,223,0
1170,11140,195,0
1185,11256,179,0
