time,seen_url_count,unsearched_count,unextracted_count
0,0,893,0
15,993,1542,17
30,1718,1758,6
45,1995,1984,0
60,2274,2049,0
75,2391,2057,1
90,2484,2247,0
105,2811,2467,0
120,3148,2947,0
135,3738,2979,0
150,3826,3003,10
165,3920,3065,0
180,4036,3115,0
195,4167,3167,0
210,4329,3174,0
225,4455,3265,0
240,4674,3553,0
255,5075,3521,0
270,5115,3545,0
285,5186,3502,1
300,5210,3489,28
315,5277,3409,62
330,5296,3438,0
345,5490,3439,0
360,5594,3429,0
375,5640,3396,0
390,5648,3379,0
405,5652,3411,0
420,5745,3394,0
435,5768,3417,0
450,5892,3404,0
465,5979,3286,0
480,5982,3280,0
495,6054,3220,1
510,6070,3165,10
525,6097,3080,47
540,6107,3008,48
555,6111,3085,0
570,6276,2983,0
585,6282,2906,0
