URL,Description
http://0-www.scopus.com.lib1000.dlsu.edu.ph,Scopus
http://archers-eye.dlsu.edu.ph,Archer's Eye
http://calendar.dlsu.edu.ph,UniCalendar
http://calendar.dlsu.edu.ph/ActivitySearch.aspx,UniCalendar
"http://calendar.dlsu.edu.ph/ActivitySearchResult.aspx?cal=%27AGS%27,%20%27AUS%27,%20%27HOL%27&ay=2016&desc=&beg=8%2f15%2f2016&end=9%2f23%2f2017",Calendar of Activities
http://cbrd.dlsu.edu.ph,Center for Business and Reseach Development (CBRD)
http://ccs.dlsu.edu.ph/nlp-team/paclic22,"Pacific Asia Conference on Language, Information and Computation (PACLIC)"
http://ccs.dlsu.edu.ph:8081/CISCO,http://ccs.dlsu.edu.ph:8081/cisco/
http://ccs.dlsu.edu.ph:8086/Palito,http://ccs.dlsu.edu.ph:8086/Palito/
http://ccs.dlsu.edu.ph:8086/PictureBooks/launch.html,http://ccs.dlsu.edu.ph:8086/PictureBooks/launch.html
http://cec.dlsu.edu.ph,Consulting and Education Center
http://cehci.dlsu.edu.ph,1st Osaka University – De La Salle University Workshop on Empathic Computing
http://cehci.dlsu.edu.ph/WEC2010,2nd Osaka University – DLSU Workshop on Empathic Computing
http://ched-zrc.dlsu.edu.ph,Zonal Research Center
http://ched-zrc.dlsu.edu.ph/announcements/updates_03262007.asp,International Conference On Research in Higher Education Institutions (ICRHEI)
http://ched-zrc.dlsu.edu.ph/research/forms.asp,Commission on Higher Education-Zonal Research Center
http://computerstudies.dlsu.edu.ph/research,http://computerstudies.dlsu.edu.ph/research
http://dlsu.edu.ph,dlsu.edu.ph
http://dlsu.edu.ph/academics/colleges/cob/mod/acm/industry-testimonials.asp,Company testimonials
http://dlsu.edu.ph/colleges/cos/departments/mathematics/student-resources,Student Resources
http://dlsu.edu.ph/concierge,Home
http://dlsu.edu.ph/ibeht/ensayo,ENSAYO Project
http://dlsu.edu.ph/ibeht/tayo,Ibeht Tayo
http://dlsu.edu.ph/lasallianmission/lspo/gsformation/accomplishment,READ MORE…
http://dlsu.edu.ph/lasallianmission/lspo/gsformation/particularservices,READ MORE…
http://dlsu.edu.ph/lasallianmission/lspo/gsformation/regularservices,READ MORE…
http://dlsu.edu.ph/lasallianmission/lspo/gsformation/volunteer,READ MORE…
http://dlsu.edu.ph/scholarships,http://dlsu.edu.ph/scholarships
http://enroll.dlsu.edu.ph/dlsu/calculate_tuition_and_fees,Tuition Calculator
http://enroll.dlsu.edu.ph/dlsu/dts,Document Tracking
http://enroll.dlsu.edu.ph/dlsu/problem,Problem? Report to Us!
http://enroll.dlsu.edu.ph/dlsu/records_verification,http://enroll.dlsu.edu.ph/dlsu/records_verification
http://enroll.dlsu.edu.ph/dlsu/report_possible_cases,Dlsu Report Possible Cases
http://enroll.dlsu.edu.ph/dlsu/view_actual_count,Course Offerings
http://enroll.dlsu.edu.ph/dlsu/view_fees_table,Tuition Fees Table
http://enroll.dlsu.edu.ph/dlsu2/report_portfolio.main_proc,http://enroll.dlsu.edu.ph/dlsu2/report_portfolio.main_proc
http://gateway.dlsu.edu.ph,DLSU Gateway
http://gateway.dlsu.edu.ph/sites/gateway/resources/Downloads/Documents/Scorecard%20for%20Hiring%20Rehiring.xlsx?Web=1,Scorecard for Hiring Rehiring
http://gateway.dlsu.edu.ph/sites/libraries/IMS,Online Request Form
http://give.dlsu.edu.ph,Make a Gift
http://greengiantfm.dlsu.edu.ph,Green Giant FM
http://helpdesk.dlsu.edu.ph,Explore Help Desk Website
http://helpdesk.dlsu.edu.ph/aboutus,About Help Desk
http://helpdesk.dlsu.edu.ph/aboutus/default.asp,Business Library
http://helpdesk.dlsu.edu.ph/articles,Understanding why some users do not receive your messages since the conversion to name-based e-mail
http://helpdesk.dlsu.edu.ph/facilities,Computer Lab Facilities
http://helpdesk.dlsu.edu.ph/guides,View other Guides
http://helpdesk.dlsu.edu.ph/guides/accessfile,Accessing CCS1 File Guidelines
http://helpdesk.dlsu.edu.ph/guides/activefax,Sending ActiveFax Guidelines
http://helpdesk.dlsu.edu.ph/guides/announcements,Announcement Posting Guidelines
http://helpdesk.dlsu.edu.ph/guides/lab,Computer Laboratory Reservation Guidelines
http://helpdesk.dlsu.edu.ph/guides/mailbox,Checking MLS Email Mailbox Size Guidelines
http://helpdesk.dlsu.edu.ph/guides/outlook,Using Microsoft Office Outlook (Exchange Mode) Guidelines
