time,seen_url_count,unsearched_count,unextracted_count
0,0,1283,16
15,1426,1867,0
30,2113,2128,10
45,2503,2187,2
60,2678,2525,13
75,3140,2645,9
90,3355,2831,0
105,3662,2955,6
120,3906,2967,23
135,4048,3104,58
150,4311,3050,80
165,4387,3277,0
180,4736,3334,8
195,4933,3387,0
210,5092,3432,24
225,5268,3508,0
240,5451,3450,0
255,5529,3430,6
270,5629,3319,0
285,5707,3236,0
300,5755,3244,0
315,5880,3275,3
330,5937,3211,30
345,5952,3103,44
360,5958,2990,83
375,5985,2880,99
390,5986,2798,105
405,6010,2792,111
420,6112,2726,107
435,6161,2619,85
450,6177,2517,0
465,6200,2403,53
480,6215,2278,101
495,6215,2177,104
510,6238,1977,97
525,6277,1912,74
540,6306,1898,2
555,6407,1718,0
570,6413,1569,0
585,6433,1578,9
600,6528,1558,0
615,6596,1484,3
630,6638,1466,0
645,6708,1502,6
660,6850,1493,0
675,6946,1435,1
690,6999,1385,0
705,7064,1326,0
720,7112,1251,4
735,7154,1184,0
750,7221,1128,10
765,7306,1131,5
780,7416,1095,26
795,7488,1046,2
810,7524,1020,0
825,7603,1300,0
840,8021,1304,0
855,8125,1223,34
870,8166,1166,38
885,8191,1109,81
900,8239,1065,84
915,8287,1053,101
930,8362,1042,87
945,8417,997,100
960,8496,1007,45
975,8580,996,10
990,8656,884,0
1005,8672,733,0
1020,8686,658,0
1035,8739,654,15
1050,8801,691,0
1065,8929,660,0
1080,9009,644,3
1095,9086,664,0
1110,9199,603,22
1125,9244,605,0
1140,9313,522,39
1155,9329,497,57
1170,9379,511,0
1185,9478,507,1
