time,seen_url_count,unsearched_count,unextracted_count
0,0,1105,0
15,1221,1693,0
30,1873,1908,0
45,2151,1962,5
60,2294,2044,0
75,2425,2243,0
90,2722,2339,0
105,2926,2741,7
120,3442,2905,36
135,3722,2897,44
150,3782,3011,0
165,3933,3060,0
180,4064,3023,0
195,4102,3142,0
210,4343,3146,0
225,4479,3171,0
240,4630,3183,0
255,4721,3129,0
270,4733,3429,0
285,5115,3467,0
300,5222,3444,0
315,5262,3410,0
330,5431,3448,0
345,5560,3425,0
360,5632,3360,0
375,5652,3383,0
390,5715,3410,0
405,5806,3308,0
420,5815,3284,0
435,5873,3278,0
450,5974,3268,0
465,6040,3251,0
480,6067,3155,11
495,6069,3092,65
510,6104,3009,97
525,6111,2943,34
540,6121,2995,11
555,6266,2904,0
570,6270,2840,0
585,6297,2764,0
600,6326,2674,49
615,6332,2566,104
630,6332,2484,133
645,6332,2423,134
660,6362,2331,106
675,6378,2304,0
690,6409,2112,0
705,6426,2143,0
720,6537,2152,0
735,6600,2107,17
750,6627,2061,0
765,6672,2049,0
780,6677,2047,0
795,6697,1969,0
810,6697,1955,0
825,6735,1894,0
840,6742,1812,0
855,6742,1735,0
870,6743,1671,0
885,6743,1710,0
900,6845,1679,0
915,6871,1637,0
930,6883,1685,0
945,7014,1656,0
960,7069,1633,0
975,7090,1576,0
990,7101,1538,8
1005,7128,1501,0
1020,7158,1493,0
1035,7197,1458,1
1050,7221,1453,0
1065,7237,1431,0
1080,7246,1354,0
1095,7283,1301,3
1110,7296,1243,31
1125,7319,1250,4
1140,7383,1206,46
1155,7425,1137,8
1170,7425,1143,0
1185,7509,1138,0
